Index,Comment,Correct Label,chatgpt by rohan
36,"অসম আৰু অসমীয়াৰ কলংক তুমি, কা - আন্দোলনত যেতিয়া তুমি পাঁচ জন শ্বহীদৰ কেঁচা তেজেৰে ফাকু খেলিছিলা তেতিয়া তোমাৰ হৃদয় অকনো নকপিছিল।",0,1
37,অসমীয়াত পঢ়ি ডাক্তৰ ইঞ্জিনীয়াৰ হ'ব নোৱাৰি বুলি লোৱা ধাৰণাটো এটা ভ্ৰান্ত ধাৰণা বুলি ভাবো।,0,1
38,সৰ্ব্বজ্ঞজনলৈ প্ৰণাম।এতিয়া অসম ত এজনেই ব্যক্তি এজনৰে ৰেকৰ্ডপ্লেয়াৰ।গণতন্ত্ৰৰ নামত ভোট লৈ জনগণক ভৎসনা। এতিয়া মূখ্যমন্ত্ৰী বেদ।তেখেতৰ বাণীয়েই দৈব্যবাণী। শেষত ফল ভূগীব জনতাই।,0,0
39,অসুৰ সদৃশ মানুহে বিষ খাব লাগিব আৰু সততাৰে থকা সকলে অমৃত খাব। ইয়াৰ ওলোটা হ'লেই কিন্তু চাপৰিলে মেঘ আঁতৰি নাযাব।,0,1
40,ভাৰতত এইটো নহবলৈ মাদ্ৰাছাবোৰ ভাঙি দিয়াটো খুবেই প্ৰয়োজন !,1,0
41,অন্ধ ভক্ত সকলে বা কি কব?যি জন মানুহ মৰিলে সেই জন মানুহ কোন ধৰ্মৰ? কথাই কথাই যে মিয়াৰ ৰেফাৰেন্স আনা এতিয়া এই মৃত ব্যক্তিৰ পৰিয়ালটোক তহঁতৰ চৰকাৰে কিবা দিবনে?,1,1
42,সকলো চৰকাৰী বিদ্যালয় ইংৰাজী মাধ্যম হোৱাটো অতি প্ৰয়োজন।তেতিয়াই সকলো পৰ্য্যায়ৰ লৰা ছোৱালীযে নাম ভৰ্ত্তি কৰিব।লগে লগে শিক্ষক সকলৰ পঢ়াই ভাল লাগিব।আৰু ফলাফল......?,0,0
43,"তাৰ বাবে তেওঁলোকৰ ভাষা ,সাজ পোছাক নাইকিয়া হৈ যোৱা নাই ৷প্ৰয়োজন হলে এসাঁজ নাখাব লৰা ছোবালীক ইংৰাজী শিক্ষা দিব ৷ছাত্ৰ সন্থাৰ মতে অসম নচলে ৷",1,0
44,"বৈজ্ঞানিক, অবৈজ্ঞানিক বাদ দিয়ক এয়া সময়ৰ আহ্বান। বৰ্হি বিশ্বৰ কথা নকলোৱেই যেনিবা।",0,0
45,"আপোনালোকে বহিঃৰাইজত গৈ কি ভাষা মাতিবলগীয়া হয় বাৰু!নৱ -প্ৰজন্মক বিশ্ব ঘূৰিৱ পৰাৰ শিক্ষা ব্যৱস্থাৰ চিন্তা কৰক,অকল নিজৰ নিজৰ চিন্তা কৰিলেই নহ'ব,আগোল -তুগোল বুকি লাভ নাই।",0,1
46,ইংৰাজী য়ে অসমীয়া ভাষাৰ একো অনিষ্ট কৰা নাই নকৰে যিমান ইংৰাজী জানিলেও ইংৰাজী ইংৰাজীয়ে হৈ থাকিব আৰু অসমীয়া অসমীয়াই হৈ থাকিব।,0,0
47,পাগলৰ প্ৰলাপ।এই বিষয়ত এজন শিক্ষক বা শিক্ষয়ত্ৰিৰ মতামতহে গ্ৰহণযোগ্য এনেকুৱা মুধাফুতা ছাত্ৰৰ মতামত গ্ৰহণযোগ্য নহয়।সি যিয়েই নহওঁক।,0,1
48,অসমত কিমান জনে চাকৰি পাইছে।।যি কেইটামান ওলাই চামুচ কেইখনমান ৰ কাৰণে আনে সুবিধা নাপায়।,0,1
49,"আমি যেতিয়া অসমীয়া মাধ্যমত শিক্ষা লৈছিলোঁ তেতিয়া মহাবিদ্যালয়ত গৈ দেখিছোঁ যে অসমীয়া মাধ্যমত মেজৰ বিষয় সমূহৰ কিতাপ পোৱা নাযায় তেতিয়া এ উপলব্ধি কৰিছিলোঁ যে কিয় অসমীয়া মাধ্যমত শিক্ষা লৈছিলোঁ, গতিকে সেই একে ভুল মোৰ সন্তানৰ ক্ষেত্ৰত কৰিব নিবিচাৰোঁ , গতিকে আপোনালোক টো ভুক্ত ভুগি নহই সেই বাবে আপোনালোকৰ এই বিষয়ত মাত মাতাৰ ও কোনো অধিকাৰ নাই ।",0,0
50,"মাধ্যম' বিষয়টো চাগৈ আমাৰ অসমতেই বেছিকৈ হৈ চৈ কৰে, আন ৰাজ্যৰ বিষয়ে অভিজ্ঞতা নাই অৱশ্যে । ",0,0
51,গতিকে অসমীয়া + ইংৰাজী + হিন্দী = এটা মিশ্ৰিত মাধ্যম সৃষ্টি কৰিলে কেনে হয় বাৰু কাৰণ এনেয়ে আমাৰ নাম-ফলকবোৰৰ ৯৯%ই ইংৰাজীত থাকেই তদুপৰি আমাৰ দেশৰ মুদ্ৰাবোৰ ইংৰাজীতেই আছেচোন । ,0,0
52,লিখিব লগা কিতো আছে এইবিলাক তৈল্যমৰ্দনৰ নেতা জনগণৰ হৃদয়ৰ নেতা হৈ থাকিব নোবাৰে।,0,0
53,শিখা শৰ্মাক মিঞাৰ ভোটৰ দৰকাৰ গতিকে ড্ৰামাটো কৰিব লগীয়া হল।,0,0
54,যদি চিকা বাই কোৱা কথাষাৰ সত্য হয় তেতিয়াহলে অসমৰ ৰাজনীতিত এক অদ্ভুদ পৰিবর্তনৰ দিশে আগবাঢ়ৰিছে কাৰণ এটা সময়ত বিশেষকৈ কংগ্ৰেছ দলটোৱে এটা নির্দিষ্ট ধর্মৰ মানুহক ভোট বেংকৰ স্বার্থত তুষ্টিকৰণ কৰি প্ৰতিটো নির্বাচনত ৰণদংকা বজাইছিল..,0,0
55,এতিয়া কেইটা মান ৰাজনৈতিক দলে ভোটৰ স্বার্থত হিন্দু ধর্মাৱলী লোক সকলক সন্তস্ত কৰিবৰ কাৰণে আশৰা আৰম্ভ কৰা যেন লাগিছে কিন্তু কাম নহব বহুত পলম হৈ গ'ল ৷,0,0
56,ধৰ্ম ভগবানৰ মন্দিৰত কিহৰ টিকেত লাগে ধৰ্মস্তাণ নে ব্যৱসাই । ,0,0
57,"এটা কথা কও বেয়া ভাবে নলব,,, মন্দিৰ হওক বা দৰ্গাহ হক ব্যৱসায় কৰা দেখিলে তাৰ প্ৰতি মাত মাতিব লাগে,,, নহলে ধৰ্ম বিলাক অপমান হয়,,, মুছলমান , হিন্দু বুলি কথা নাই,,, ধৰ্ম ক সন্মান দিলে আমি বোৰেও সন্মান পাম। ",0,0
58,এই মহান নাৰী গৰাকীৰ মূখখন কিয় ব্লক কৰি দিয়া হৈছে? নিশ্চিয় কিবা অংক কৰিলে!,0,0
59,শিক্ষক দিৱসৰ তাৎপৰ্য ছাত্ৰ ছাত্ৰীৰ মাজত বিশ্লেষণ কৰাৰ প্ৰয়োজন । ,0,0
60,কেমেৰাৰ সন্মুখত ʼদুৰ্নীতি মুক্তʼ অসম গঢ়াৰ ডায়ʼলগ মৰা ৰাজনৈতিক হিৰো আমি বহুত দেখিলো । ,0,0
61,বি জে পিৰ বি টিম হয় ।। মুছলমানৰ কোনো সমস্যা সমাধান নকৰে ।,0,1
62,ই বেটা মহা হাৰামি। মই তিনি মাহ একেলগে এন আৰ চি ডিউটি কৰিছিলোঁ। মোৰ লগত ভাল চিনাকি তথা মাতবোল থকা স্বত্বেও মোৰ কাম এটাৰ বাবে খৰচ বিচাৰিছিল।,0,0
63,সকলোতে একেই৷ আৰক্ষীৰ বিষয়ে যিমানেই মৌবৰষা কথা নকওক কিয় সকলো আৰক্ষী এনেকুৱাই৷ বাহিৰা টকা নাপালে আৰক্ষী পাগল হৈ থাকে৷৷,0,0
64,এই বোৰ কথা ল'ৰা ছোৱালী বোৰে ভৱা উচিত। প্ৰেমৰ জয় হ'ব লাগে পৰাজয় নহয়,0,0
65,মানুহে কেৱল কেৱল মাত্ৰ এটা ল'ৰা বা এজনী ছোৱালীৰ প্ৰেমৰ কাৰণে জন্ম গ্ৰহণ কৰে নেকি,0,0
66,"মানুহে যেতিয়া নিজৰ জীৱন টো নিজৰ কাৰণে, সমাজৰ কাৰণে, দেশৰ কাৰণে, পৃথিৱীৰ কাৰণে কিমান মূল্যবান বুজি নাপায় তেতিয়া এনেকুৱা হয়",0,0
67, বাকী চব যহন্নামে যা,1,0
68,অকল মতাৰ প্ৰেম,0,0
69,হেৰʼ পিতৃ মাতৃৰ প্ৰতি ককাই ভাইৰ প্ৰতি থাকিব লগীয়া প্ৰেমৰ কোনো মূল্য নাই নেকি,0,0
70,নিৰাপত্তা পৰিষদো ভংগ কৰিব লাগে কোনো দেশকে নিৰাপত্তা দিব নোৱাৰে যেতিয়া,0,0
71,কিবা কাৰণত চুৱা গৈছে যদি ঘৰত গৈ গাটো ধুব,0,0
72,কাৰন মাইকী জনীয়ে নামাতিলে গুণ্ডা পুলিছজন ঘৰত সোমাব নোৱাৰে। মাইকী জনী হয়তো আগৰপৰাই এনেকুৱা স্বভাৱৰ হয়,1,1
73,মনত ৰখা ভাল যে তেনে কৰা উদাহৰণ সাংবাদিকৰো আছে  ৷,0,0
74,একে ভুলৰ বাবে মতা হল বুলি ফটো মাৰি সবিশেষ বৰ্ণনা দিব আৰু মহিলা বুলি ফটো ব্লাৰ কৰি দেখু্াৱাব,0,0
75,নে সাংবাদিক জনে নিশা মহিলা গৰাকীৰ ফটো লবলৈ গৈছিল ? সন্দেহ আছে?? আপোনালোকৰ চেনেল বিলাকে অকল পুৰুষৰ দোষ হে দেখে ।,0,1
76,উৎপাতটো বেছিকৈ চাৰৰ লগত মেছেজ কৰা বোৱাৰী নে জীয়ৰি হে।বিচাৰ কৰিব লাগে গুৰুৰ সৈতে মেছেজ কৰা এইজনীকো।,0,0
77,কাৰণ অতীতৰ ডাক্তৰ ইঞ্জিনীয়াৰ সকল কিমানে ইংলিছ স্কুলত পঢ়িছিল বাৰু? সেই কথা নিশ্চয় ৰাইজে নজনা নহয়।,0,0
78,"আজি মেঘালয়,মিজোৰামৰ,নাগালেণ্ডত তেওঁলোকৰ লৰা- ছোবালী ইংৰাজী মাধ্যমৰ স্কুলত পঢ়াশুনা কৰে ৷",0,0
79,"কাৰণ যিমানেই জাতীয়তাবাদ নেদেখাওঁক কেলেই,বৰ্তমান অসম তথা ভাৰতত এনে এটা চাকৰি নোলাব যʼত ইংৰাজীক প্ৰাধান্য দিয়া নহয় সেয়া লাগিলে চৰকাৰীয়েই হওঁক বা বেচৰকাৰীয়েই হওঁক",0,0
80,"অসমতে যে অসমীয়াক অহমিয়া বোলে অসমক অহম বোলে ,ভাল ক বাল বোলে, দেশ ক দেহ বোলে,ভাৰতক বাৰত বোলে এই এনে ধৰনৰ কিমান যে শব্দৰ বিকৃতকৰন হৈ আছে এই বিলাকেহে অসমীয়া ভাষাৰ মাই বাপ নোহোৱা কৰি আছে আৰু কৰিব",0,1
81,এয়া এক মিছনৰ দৰে।তাৰ বাবে কোনোবা দিনাখন কিবা ভৱা চিন্তা কৰিছেনে,0,0
82,সকলো ভাষা ই জৰুৰী।ইংৰাজী অসমীয়া দয়োটাই গুৰুত্ব দিব লাগিব।সেইখিনি কৰিবলৈ আমি চৰকাৰক বাধ্য কৰাব পাৰিব লাগিব।,0,0
83,এনেই মহৎ লোকৰ দৰে বাণী সোপা গাই নাথাকিব।,0,0
84,আমি হে চৰকাৰ গঠন কৰিছোঁ।গতিকে আমাৰ কথা নুশুনিলে হব নেকি।,0,0
85,গুৰুত্বপূৰ্ণ কথাত আলোচনা নকৰি বাৰে ভচহু কথা পতাত আপোনালোকে কেতিয়াবাই পি এইচ ডি কৰিছে।,0,0
86,অসমৰ লৰা ছোৱালী চাকৰি কৰি বলৈ বাহিৰত যাব লগা হয় বা কৰিয়ে আছে।,0,0
87,গতিকে ইংৰাজী ভাষাত দখল নহলে পাৰিব নে বাহিৰত কৰিব চাকৰি।মতবিৰোধ কৰক কিন্তু যুক্তি পূৰ্ণ কথাত।,0,0
88,আন্দোলনৰ বাহিৰে কি জানে আপোনালোকে।আমি সাধাৰণ এগৰাকী মহিলা হয় ও বুজি পাও কথাবোৰ কিন্তু কিছুমান জ্ঞানীপুৰুষে কিয় বুজিব নোৱাৰে বা।,0,0
89,মোৰ বোধেৰে মাধ্যমটো এটা সাংঘাতিক সমস্যা নহ‌য় । অসমীয়া মাধ্যম ইমানো দুৰ্বল নহয়,0,0
90,এই মাধ্যমত শিক্ষালাভ কৰিয়েই অনেক বিদগ্ধ পণ্ডিত সৃষ্টি হৈছে আৰ হৈ থাকিব ।,0,0
91,মাধ্যমলৈ তাহানিদিনৰ পৰা আন্দোলন কৰি থকা স্বত্ত্বেও সফল নহলো আমি সেইয়েহে ইয়াক ইয়াতেই যতি পেলাব লাগে ।,0,0
92,যাই থই pk ত চাগে ঠিকে কৈছিল নে কি?কিছুমান সত্যত পৰিণত হৈ আহি আছে। ,0,0
93,বাইদেওৰ নাম আহিব কালীলৈ যে হিন্দু ধৰ্মক অপমাণ কৰা বুলি ছাগে এৰেস্ত কৰিব ।,0,1
94,মই মুছলমান কিন্তু মই মছজিদক যেনেকৈ মন্দিৰক ও তেনেকৈ শ্ৰদ্ধা কৰোঁ।,0,0
95,"কাৰণ এনেকুৱা হাৰামী,ঠগবাজৰ মূখ ব্লক কৰা কিবা যুক্তি আছে বুলি নেভাবো,যিহেতু এইধৰণৰ মানুহক মনত ৰখা অতি জৰুৰী।",1,1
96,অনর্থক আৰু অদৰকাৰী অনুস্থান পৰিবেশন কৰি শিক্ষাগুৰু আদৰনী পৰ্ব কলুষিত কৰাতো উচিত নহয়।,0,0
97,"কেতিয়া কি চলনাৰে ক'ত প্ৰৱঞ্চনাৰ জাল পেলাই ঠিক নাই, সেইবাবে এনেবোৰ মানুহক সম্পূর্ণ মুখমণ্ডল স্পষ্ট কৈ দেখুৱাই দিব লাগে।",0,0
98,"সেৱা আৰু ভক্তি নিদৰ্শণৰ দ্বাৰা গুৰু -শিষ্যৰ মনিকাঞ্চন সংযোগেই, শিক্ষক দিৱসৰ মূল তাৎপৰ্য হওক।",0,0
99,"কিন্তু বাস্তৱ ক্ষেত্ৰত আন দলৰ বিধায়ক কিনা-বেচাত বৃহৎ টকাৰ লেনদেন কৰোতে ʼনিকাʼ মূখাখন কʼত সোলোকাই থয় ? নে সেয়া ʼদুৰ্নীতিʼ নহয়, ৰাজনীতিৰেই অংশবিশেষ ʼসুনীতিʼ সদৃশ ??",0,0
100,"যোৱা ২০ বছৰত একো উন্নয়ন কৰা নাই ,কৰ্ম সংথাপন,চাকৰিৰ খেত্ৰতো বিফল।",0,0
101,"নামনি অসমৰ পৰা চাকৰিৰ পৰীক্ষা কেন্দ্ৰ সমুহ বহু দুৰৰ জিলা সমুহ লৈ গল,তাৰ কোনো প্ৰতিবাদ নকৰিলে । ",0,0
102,"মাদ্ৰাছা বোৰ্ড গুছি গল,আপোনালোকৰ একো মাতবোল বা প্ৰতিবাদ শুনা নগল । ",0,0
103,আচলে বিজেপিৰ আগত মুখ বা প্ৰতিবাদ কৰিবলৈ ভয় খায় নে বি জে পিয়ে বেয়া পাব নে নিজ দলৰ লোকচানৰ চিন্তা কৰে ।,0,0
104,"অ'ই কুকুৰহঁত, কোনটো জীৱই হেৰি কৰিলে তহঁতৰ দৰে ফকটীয়া ৰিপ'ৰ্টাৰ জন্ম দিয়ে খবৰতো দিবিচোন",1,0
105,"কোন জগৰীয়া কব নোৱাৰিম , সেইটো উচিত তদন্তইহে কব ",0,0
106,চিকিৎসকৰ গাফিলতি যদি অতি পৰিতাপৰ কথা। তথাপি ছোৱালীজনীৰ মৃত্যু অতি বেদনাদায়ক,0,0
107,"জগৰীয়া কোনোনহয়,জগৰীয়া সময়. বা কাল,সকলোৰে আহে",0,0
108,অভিভাৱক যদি সচেতন হলহেঁতেন কণমানি জনী হেৰুৱাব লগীয়া নহলহেতেন,0,0
109,কাক কেতিয়া ক'ত কিয় মাৰিব সেই কথা নিশ্চয়তা আছে আজিৰ দিনত কাৰ হাতত জানেনে অসমবাসী ৰাইজ,0,0
110,মাক বাপেক পৰিৱেশ পৰিস্থিতি ডাক্টৰ নাৰ্ছ স্বাস্থ্য বিভাগ আৰু নিজে -বাকী চৰকাৰ জগৰত পৰিলেও চৰকাৰ খন আমিয়ে পতা গতিকে আমিয়ে জগৰীয়া,0,0
111,কিমান চাইজৰ মিডিয়া কেইটাই জুখিব লাগিছিল। নিউজ নাপাও না আৰু তহতে,1,0
112,বক্সাৰগৰাকীৰ দেহৰ কোনটো অংশ ৰাজহুৱা আৰু কোনটো ব্যক্তিগত অংশ কেনেকৈ নিৰূপণ কৰিলে?,0,0
113,দেখুৱালে বুলিয়েই চাম নি ক্লাহহ?,1,0
114,আমাক প্ৰমাণ লাগিব নহলে বিশ্বাস নকৰিম দেই ।,0,0
115,আৰে বুকু ফালি দেখালে আকৌ দম কি হল তাতে,0,0
116,ইমান সৰু লৰাটোক সেইবোৰ চাবলৈ কিয় নিছিল,0,0
117,প্ৰীয়জনিৰ কাৰণে লৈ গৈছিল চাগে। নহলে এনে কাম কোনেও নকৰে।,0,0
118,বৰ বেয়া ক্ষনত জন্ম গ্ৰহণ কৰিছিল পুলিচ হৈ ও চুৰৰ কাম কৰে ।,0,0
119,পুলিচে চুৰ ধৰে বুলি হে জানো আম চুৰ কৰে বুলি আজি শুনিছো,0,1
120,লোকক ঠগী খোৱা অভ্যাসতোনো কেনেকৈ এৰে ।,0,0
121,অসম পুলিচ চোৰ বুলি মই আগতেও বহুত বাৰ কৈছো।,1,0
122,অভিযোগ সত্য প্ৰমাণিত হ'লে নিলম্বনৰ নাটকত ৰাইজ ক্ষান্ত নাথাকি,0,0
123,ত্যাকাৰীৰ দৰে কঠোৰ শাস্তি সন্মূখীন হ'ব লাগিব ,0,0
124,দেশৰ ভিতৰতে সৰ্বনিম্ন অসমৰ চিকিৎসা ব্যৱস্থা,0,0
125,ইমান ছিৰিয়াছ ৰোগী এগৰাকীক নাৰ্চৰ অবহেলা যে হৈছে লৰাজনৰ কথাৰ পৰাই গম পোৱা গৈছে!!,0,0
126,"টকা দি চাকৰি লৈছে নামত ডক্তৰ, নাৰ্ছ, কাম নাজানে সিহঁত দৰমহা লৈ পাল মাৰিছে, উচিত তদন্ত কৰিব লাগে,",0,0
127,চৰকাৰী চিকিৎসালয়য থকা ডাঃ আৰু নাৰ্ছ কিছুমান সচাই অভদ্ৰামী,0,0
128,"কিয় মানৱীয়তা হেৰাই গৈছে অ সমাজত, নিজৰ বৃত্তি তথা দায়িত্ব ভালকৈ পালন কৰিৱ লাগে! দুখ লাগিছে সঁচাকৈ",0,0
129,"এখন বৃহৎ খেল অনুষ্ঠিত, পৰিচালনা কৰিবলৈ কিমান যতিল সেয়া আপোনালোকৰ দৰে কাম নাইকীয়া নিউজ চেনেলনে কি বুজিব, ",0,0
130,"আপোনালোকৰ TRP পাছত দৌৰি থাকোঁতেই দিন যাই,,, ভাল দৰকাৰী নিউজ বনাব",0,0
131,অসমত এখন আন্তৰাষ্ট্ৰীয় খেল অনুষ্ঠিত হৈছে ।সকলোৱে সুখী হোৱা প্ৰয়োজন,0,0
132,কেৱল নিজৰ মানুহ খিনিক দোষাৰোপ কৰি থকা টোৱে আমাৰ উদেশ্য হোৱাটো বেয়া।,0,0
133,সাপ দাল টিকট কাটিছিল নাই তাৰে আমাক CBI তদন্ত লাগে,0,0
134,তীব্ৰ গতি সৰ্গ গামী লগতে সুৰা থাকিলে কথাই নাই টিকট কনফাৰ্ম,0,0
135,গড় অসমৰ বিখ্যাত জন্তূ সেইটো ওলিয়াই দিব লাগিছিল,0,0
136,"আৰু লাইটটো চাগে প্ৰেমিক, প্ৰেমিকাক এখন্তক দেখা কৰিবলৈ কাটিছিলে",0,0
137,নেউল দুটামান পুহিবলৈ আহ্বান জনালোঁ,0,0
138,আমেৰিকা জাপানতো বানপানী হয় ।তেনেহেন কথা দেছোন ।,0,0
139,"সাপ দাল টিকট অবিহনে প্ৰবেশ কৰিছিল নে , তদন্ত হ'ব লাগে ।",0,0
140,কাগজত শিক্ষিত গৰু কথা এনেকুৱা হ'ব পাৰে ,1,0
141,ই কালন্ত সাঁপটোৱে একনম্বৰ হাৰামি হয় চাল্লা! লীলিমাই কৰি গোটেই লাইট বন্ধ কৰিবলে কি দৰকাৰ হৈছিল তাৰ,1,0
142,সাপৰো ভাগ্য ওচৰৰ পৰা সকলোকে চাবলে পালে।,0,0
143,ষ্টেডিয়ামৰ ভিতৰত মোবাইল আৰু মানি বেগৰ বাহিৰে অন্য কিবা বস্তু নিবলৈ মানা কৰিছে ,0,0
144,পিছে ইমান ডাঙৰ সাপ লৈ কোনে গৈছে 😀😀,0,0
145,অতি সোনকালে তদন্ত কৰি তেওক হাস্তি দিব লাগে,0,0
146,নিয়মীয়াকৈ খেল হৈ নথকা ষ্টেডিয়ামত এনে ঘটনা হৈয়েই থাকিব ,0,0
147,ঈশ্বৰক প্ৰাৰ্থনা কৰিছো তেখেতক সোনকালে আৰোগ্য কৰি তোলক ।,0,0
148,মাসাআল্লাহ ...তুমি তৌবা কৰা আল্লাহ মাফ কৰিব,0,0
149,অন্তৰৰ পৰা ক্ষমা বিচাৰিলে আল্লাহ তালাই নিশ্চয় ক্ষমা কৰি দিব।,0,0
150,ইমান ধুনীয়া নৰ্তকীক ক্ষমা নকৰাৰ কোনো কাৰণে নাই,0,0
151,চৰকাৰে এটা হাঁহৰ গঁড়াল আৰু এটা গাহৰিৰ গঁড়াল বনাই দিব বুলি আশা কৰিলোঁ ৷,0,1
